station_nm,line_id,geo_lat,geo_lon,st_dist_from_center
Лефортово,15,55.764693,37.706757,5.891479366797565
Войковская,2,55.818923,37.497791,10.47591742068537
Аэропорт,2,55.800441,37.530477,7.571727516992878
Косино,15,55.703423,37.851305,15.7769182872741
Котельники,7,55.6743,37.8582,17.54566754959086
Сокол,2,55.805564,37.515245,8.654266169427101
Сокол,1,55.789282,37.679895,5.773275096512972
Сокол,14,55.77,37.745278,8.380473994983307
Сокол,1,55.774072,37.654565,3.451716782903001
Сокол,1,55.736163,37.595027,2.2043099553771235
Сокол,1,55.814916,37.732227,10.114644544584525
Сокол,1,55.676549,37.504584,10.93761825685657
Новогиреево,8,55.752237,37.814587,12.497170489335197
Кунцевская,11,55.728707,37.445985,10.968044324184847
Кунцевская,3,55.730634,37.445123,10.971387839974987
Кунцевская,4,55.730815,37.446754,10.86699698797003
Проспект Вернадского,1,55.676549,37.504584,10.93761825685657
Проспект Вернадского,11,55.678519,37.503747,10.803612419507116
Динамо,2,55.789704,37.558212,5.511041540166244
Динамо,1,56.847818,60.599406,1421.3468825638988
Черкизовская,1,55.802787,37.744863,9.875817406039161
Отрадное,9,55.864273,37.605066,12.49313425950269
Крылатское,3,55.756842,37.408139,13.03363607449924
Мнёвники,11,55.761148,37.47139,9.10601252018726
Хорошёвская,11,55.776862,37.520797,6.550645211342601
Хорошёвская,81,55.776862,37.520797,6.550645211342601
Селигерская,10,55.866556,37.547117,13.43383899255389
Павелецкая,2,55.729741,37.638693,2.893935851986204
Павелецкая,5,55.731414,37.636294,2.6574364879490258
Первомайская,3,55.794376,37.799364,12.453408832787327
Орехово,2,55.61269,37.695214,16.32276154084211
Тургеневская,6,55.765371,37.636732,1.977533164712306
Выставочная,4,55.750243,37.542641,4.584086888275973
Кропоткинская,1,55.745297,37.604217,1.0495203779843651
Площадь Ильича,8,55.747115,37.680726,4.131413043577911
Мякинино,3,55.823342,37.385214,16.47794749904517
Лухмановская,15,55.708516,37.900569,18.55545167340108
Свиблово,6,55.855558,37.653379,11.747349798769376
Бутырская,10,55.813333,37.602778,6.851290412049175
Петровско-Разумовская,10,55.836667,37.575556,9.731227457763586
Петровско-Разумовская,9,55.836565,37.575512,9.720968995380941
Владыкино,14,55.847222,37.591944,10.680539505171451
Владыкино,9,55.848236,37.590451,10.805602656526053
Комсомольская,1,55.774072,37.654565,3.451716782903001
Комсомольская,5,55.775672,37.654772,3.588376792792076
Комсомольская,1,56.252662,43.889888,395.25135297930007
Таганская,5,55.742396,37.653334,2.612198591236134
Таганская,7,55.739502,37.653605,2.777355893914685
Проспект Мира,5,55.779584,37.633646,3.2512779533459346
Проспект Мира,6,55.781827,37.633199,3.4773359592902815
Шипиловская,10,55.621667,37.743611,16.617439934417412
Третьяковская,6,55.74073,37.625624,1.4268754883856296
Третьяковская,8,55.741125,37.626142,1.402698319351135
Выхино,7,55.715983,37.816788,13.269440725383223
Каширская,2,55.655745,37.649683,10.953318898871833
Каширская,11,55.654327,37.647705,11.084840346621144
Савёловская,9,55.794054,37.587163,4.98700063894554
Савёловская,11,55.792807,37.586122,4.88194098337952
Савёловская,D1,55.795363,37.58915,5.08134359337222
Семёновская,3,55.783096,37.719289,7.3625318385107335
Рязанский проспект,7,55.716139,37.792694,11.830523494656605
